1  number of sets, Nset
-----------------
#1  Blade structural data for HAWC2/HAWCStab2
========================================================================================================================================================================================================================================================================================================================================================================================================================================================================
arc                       m_pm                      x_cg                      y_cg                      ri_x                      ri_y                      x_sc                      y_sc                      E                         G                         I_x                       I_y                       I_T                       k_x                       k_y                       A                         theta_s                   x_ec                      y_ec                      
========================================================================================================================================================================================================================================================================================================================================================================================================================================================================
$1  83 Flexible
2.299900000000E+01        4.157671006190E+02        2.255461907640E-01        1.905229872214E-03        6.747109894606E-01        1.402756903367E+00        8.103591491082E-01        -3.317265220640E-02       1.361656807501E+10        2.667084692133E+09        1.039207595229E-01        5.193728656801E-01        1.668566019108E-01        5.494569506117E-01        2.325701337155E-01        5.637738823625E-01        -5.206084116409E+00       4.700551247551E-01        -1.810918068097E-02      
2.389900000000E+01        4.029892597910E+02        2.244376032160E-01        2.825355936832E-03        6.484758200161E-01        1.365723313782E+00        8.012674810455E-01        -3.228274097373E-02       1.409439265502E+10        2.673906848490E+09        9.296336380659E-02        4.678570811058E-01        1.473608868681E-01        5.448789139055E-01        2.277190042114E-01        5.436573435535E-01        -4.936633787334E+00       4.692199266774E-01        -1.754743365912E-02      
2.499900000000E+01        4.151835982390E+02        1.405877935457E-01        3.012536625905E-02        6.064281852746E-01        1.338452696855E+00        6.526964040998E-01        7.913225308036E-02        1.472954608452E+10        2.912801501505E+09        8.129060695147E-02        4.393870703429E-01        1.281142667317E-01        5.479492196037E-01        2.092119591899E-01        5.336668031808E-01        -5.301371063475E+00       4.272174597985E-01        -5.811497934412E-03      
2.594700000000E+01        4.048986988340E+02        1.401638634336E-01        3.003043468827E-02        5.819711880214E-01        1.301893027016E+00        6.458446120686E-01        7.801155560453E-02        1.529574927803E+10        2.936087661373E+09        7.256545444570E-02        3.959935963715E-01        1.128884643217E-01        5.427135642182E-01        2.040172363549E-01        5.153671217488E-01        -5.031661396849E+00       4.259904686975E-01        -5.974408953099E-03      
2.710000000000E+01        3.906223394910E+02        1.431164169503E-01        2.891283652547E-02        5.529803459257E-01        1.256726734547E+00        6.403673051017E-01        7.377763768644E-02        1.600005859713E+10        2.955936306744E+09        6.284738024637E-02        3.476101702751E-01        9.633695020201E-02        5.364782655808E-01        1.980036686691E-01        4.928180892508E-01        -4.663507582395E+00       4.248389953860E-01        -6.571028481206E-03      
2.800000000000E+01        3.826712455170E+02        1.466207193441E-01        2.726580146126E-02        5.331752340900E-01        1.224663160289E+00        6.385762957652E-01        6.809368114060E-02        1.658797474535E+10        2.981004985058E+09        5.669294780067E-02        3.166716532891E-01        8.631756145001E-02        5.331802823103E-01        1.936694011704E-01        4.779433551580E-01        -4.364913246343E+00       4.240143145589E-01        -7.231599008485E-03      
2.899900000000E+01        3.656691701010E+02        1.685729867037E-01        2.587255720338E-02        5.145256992205E-01        1.182851730508E+00        7.775327392537E-01        6.342856917261E-02        1.776521010912E+10        3.063630520159E+09        4.873041265330E-02        2.729276381974E-01        6.815200726079E-02        5.320422199490E-01        1.741413277752E-01        4.452797152261E-01        -4.104018228320E+00       4.272755695503E-01        -7.840049275176E-03      
2.989900000000E+01        3.570297435590E+02        1.681617845685E-01        2.528914697811E-02        4.970693574982E-01        1.154882537526E+00        8.638302276966E-01        5.784063665732E-02        1.829629989959E+10        3.069161412551E+09        4.429181047141E-02        2.502435882030E-01        5.659292185411E-02        5.255265294874E-01        1.631868873752E-01        4.329333492133E-01        -3.883070253654E+00       4.249178126781E-01        -8.160664565760E-03      
3.100000000000E+01        3.520385569620E+02        1.418212109567E-01        2.322964697635E-02        4.725967436262E-01        1.137689943782E+00        6.968094452077E-01        6.673899232757E-02        1.900819737313E+10        3.119150805814E+09        3.878453925449E-02        2.396735234201E-01        5.542899824489E-02        5.308112692657E-01        1.700090195173E-01        4.182794711664E-01        -3.260484133324E+00       3.958284414093E-01        -8.481488759129E-03      
3.200000000000E+01        3.413540861790E+02        1.414153596339E-01        2.229913352231E-02        4.557042457308E-01        1.111368152289E+00        6.917819723309E-01        6.297927961719E-02        1.939309919350E+10        3.115978477870E+09        3.494208163090E-02        2.199480450183E-01        4.944633958451E-02        5.274441460998E-01        1.674259324109E-01        4.046439883885E-01        -3.045501402519E+00       3.913388929447E-01        -8.606565347651E-03      
3.300000000000E+01        3.347818240040E+02        1.387831742480E-01        2.169110451051E-02        4.384790820269E-01        1.085207840061E+00        6.870782866813E-01        6.039025901687E-02        1.981134175080E+10        3.136586002189E+09        3.150942006115E-02        2.036423432264E-01        4.433959341965E-02        5.269674680874E-01        1.638806931368E-01        3.938247218922E-01        -2.826906246989E+00       3.847175747617E-01        -8.426537885204E-03      
3.410000000000E+01        3.228815885410E+02        1.305682276890E-01        2.680008325353E-02        4.199357967910E-01        1.063904787272E+00        6.699279772547E-01        7.672173952016E-02        2.010767376341E+10        3.111454099718E+09        2.824543096397E-02        1.877083107584E-01        3.913984503119E-02        5.135479168213E-01        1.623733822256E-01        3.813252581863E-01        -2.548201367740E+00       3.772735441297E-01        -4.735227313343E-03      
3.500000000000E+01        3.138031113650E+02        1.268804528040E-01        2.652979705257E-02        4.063310799325E-01        1.044025999941E+00        6.609222632776E-01        7.706889420234E-02        2.048898372799E+10        3.101268955911E+09        2.576320506538E-02        1.738699416791E-01        3.506942288206E-02        5.067953038508E-01        1.598848885368E-01        3.702279428842E-01        -2.435281029565E+00       3.732175783340E-01        -4.659786071727E-03      
