Nr, R, z, theta, PA(x), PA(y), TA(x), TA(y), LE(x), LE(y), TE(x), TE(y), HC(x), HC(y), QC(x), QC(y) 
50,   4.7000000E+01,   4.6988483E+01,  -5.4202000E-02,   0.0000000E+00,   0.0000000E+00,  -6.9739154E-01,   0.0000000E+00,  -6.9655330E-01,  -8.8609268E-01,  -6.9922697E-01,   1.9401862E+00,  -6.9789013E-01,   5.2704678E-01,  -6.9722171E-01,  -1.7952295E-01 
51,   4.9000000E+01,   4.8985122E+01,  -1.8636000E-01,   0.0000000E+00,   0.0000000E+00,  -8.1323492E-01,   0.0000000E+00,  -8.1045831E-01,  -8.5365659E-01,  -8.1933939E-01,   1.8767931E+00,  -8.1489885E-01,   5.1156827E-01,  -8.1267858E-01,  -1.7104416E-01 
52,   5.1000000E+01,   5.0981021E+01,  -3.1391600E-01,   0.0000000E+00,   0.0000000E+00,  -9.4119504E-01,   0.0000000E+00,  -9.3668809E-01,  -8.2259860E-01,  -9.5114217E-01,   1.8155272E+00,  -9.4391513E-01,   4.9646431E-01,  -9.4030161E-01,  -1.6306715E-01 
53,   5.3000000E+01,   5.2976065E+01,  -4.3945800E-01,   0.0000000E+00,   0.0000000E+00,  -1.0818564E+00,   0.0000000E+00,  -1.0757765E+00,  -7.9267805E-01,  -1.0953255E+00,   1.7560332E+00,  -1.0855510E+00,   4.8167758E-01,  -1.0806637E+00,  -1.5550024E-01 
54,   5.5000000E+01,   5.4970128E+01,  -5.6418100E-01,   0.0000000E+00,   0.0000000E+00,  -1.2357983E+00,   0.0000000E+00,  -1.2282779E+00,  -7.6370988E-01,  -1.2525190E+00,   1.6980299E+00,  -1.2403984E+00,   4.6716000E-01,  -1.2343382E+00,  -1.4827494E-01 
55,   5.7000000E+01,   5.6963072E+01,  -6.8558800E-01,   0.0000000E+00,   0.0000000E+00,  -1.4035935E+00,   0.0000000E+00,  -1.3947916E+00,  -7.3555239E-01,  -1.4232338E+00,   1.6412959E+00,  -1.4090127E+00,   4.5287178E-01,  -1.4019022E+00,  -1.4134031E-01 
56,   5.9000000E+01,   5.8954750E+01,  -7.8780500E-01,   0.0000000E+00,   0.0000000E+00,  -1.5858082E+00,   0.0000000E+00,  -1.5760714E+00,  -7.0809759E-01,  -1.6076121E+00,   1.5856614E+00,  -1.5918418E+00,   4.3878189E-01,  -1.5839566E+00,  -1.3465785E-01 
57,   6.1000000E+01,   6.0945000E+01,  -8.5732100E-01,   0.0000000E+00,   0.0000000E+00,  -1.7830006E+00,   0.0000000E+00,  -1.7728069E+00,  -6.8120489E-01,  -1.8059087E+00,   1.5308661E+00,  -1.7893578E+00,   4.2483060E-01,  -1.7810823E+00,  -1.2818715E-01 
58,   6.3000000E+01,   6.2933650E+01,  -9.0344200E-01,   0.0000000E+00,   0.0000000E+00,  -1.9957199E+00,   0.0000000E+00,  -1.9853830E+00,  -6.5550932E-01,  -2.0190331E+00,   1.4783859E+00,  -2.0022080E+00,   4.1143827E-01,  -1.9937955E+00,  -1.2203552E-01 
59,   6.5000000E+01,   6.4920516E+01,  -9.3910900E-01,   0.0000000E+00,   0.0000000E+00,  -2.2245058E+00,   0.0000000E+00,  -2.2141887E+00,  -6.2940001E-01,  -2.2478583E+00,   1.4246272E+00,  -2.2310235E+00,   3.9761359E-01,  -2.2226061E+00,  -1.1589321E-01 
60,   6.7000000E+01,   6.6905400E+01,  -9.6899100E-01,   0.0000000E+00,   0.0000000E+00,  -2.4698869E+00,   0.0000000E+00,  -2.4597019E+00,  -6.0217662E-01,  -2.4930250E+00,   1.3680076E+00,  -2.4763635E+00,   3.8291549E-01,  -2.4680327E+00,  -1.0963057E-01 
61,   6.9000000E+01,   6.8888092E+01,  -9.9790400E-01,   0.0000000E+00,   0.0000000E+00,  -2.7323800E+00,   0.0000000E+00,  -2.7224093E+00,  -5.7241829E-01,  -2.7551158E+00,   1.3052737E+00,  -2.7387626E+00,   3.6642770E-01,  -2.7305860E+00,  -1.0299529E-01 
62,   7.1000000E+01,   7.0868373E+01,  -1.0416360E+00,   0.0000000E+00,   0.0000000E+00,  -3.0124906E+00,   0.0000000E+00,  -3.0027095E+00,  -5.3795852E-01,  -3.0348801E+00,   1.2314108E+00,  -3.0187948E+00,   3.4672614E-01,  -3.0107521E+00,  -9.5616188E-02 
63,   7.3000000E+01,   7.2846007E+01,  -1.1190090E+00,   0.0000000E+00,   0.0000000E+00,  -3.3107096E+00,   0.0000000E+00,  -3.3010335E+00,  -4.9537873E-01,  -3.3329467E+00,   1.1384408E+00,  -3.3169901E+00,   3.2153105E-01,  -3.3090118E+00,  -8.6923840E-02 
64,   7.4000000E+01,   7.3833756E+01,  -1.1661020E+00,   0.0000000E+00,   0.0000000E+00,  -3.4667556E+00,   0.0000000E+00,  -3.4572010E+00,  -4.6939592E-01,  -3.4887580E+00,   1.0809244E+00,  -3.4729795E+00,   3.0576423E-01,  -3.4650902E+00,  -8.1815844E-02 
65,   7.5000000E+01,   7.4820750E+01,  -1.2117860E+00,   0.0000000E+00,   0.0000000E+00,  -3.6275084E+00,   0.0000000E+00,  -3.6182236E+00,  -4.3893653E-01,  -3.6489336E+00,   1.0128810E+00,  -3.6335786E+00,   2.8697221E-01,  -3.6259011E+00,  -7.5982161E-02 
66,   7.5500000E+01,   7.5313954E+01,  -1.2339340E+00,   0.0000000E+00,   0.0000000E+00,  -3.7096645E+00,   0.0000000E+00,  -3.7005842E+00,  -4.2156647E-01,  -3.7306403E+00,   9.7382364E-01,  -3.7156122E+00,   2.7612858E-01,  -3.7080982E+00,  -7.2718941E-02 
67,   7.6000000E+01,   7.5806957E+01,  -1.2561350E+00,   0.0000000E+00,   0.0000000E+00,  -3.7930167E+00,   0.0000000E+00,  -3.7841924E+00,  -4.0243480E-01,  -3.8134226E+00,   9.3062021E-01,  -3.7988075E+00,   2.6409270E-01,  -3.7914999E+00,  -6.9171052E-02 
68,   7.6500000E+01,   7.6299755E+01,  -1.2783810E+00,   0.0000000E+00,   0.0000000E+00,  -3.8775733E+00,   0.0000000E+00,  -3.8690665E+00,  -3.8120259E-01,  -3.8972663E+00,   8.8247186E-01,  -3.8831664E+00,   2.5063464E-01,  -3.8761165E+00,  -6.5283974E-02 
69,   7.7000000E+01,   7.6792344E+01,  -1.3004970E+00,   0.0000000E+00,   0.0000000E+00,  -3.9633437E+00,   0.0000000E+00,  -3.9552296E+00,  -3.5741813E-01,  -3.9821480E+00,   8.2831467E-01,  -3.9686888E+00,   2.3544827E-01,  -3.9619592E+00,  -6.0984930E-02 
70,   7.7500000E+01,   7.7284719E+01,  -1.3223870E+00,   0.0000000E+00,   0.0000000E+00,  -4.0503306E+00,   0.0000000E+00,  -4.0427025E+00,  -3.3044927E-01,  -4.0680283E+00,   7.6666080E-01,  -4.0553654E+00,   2.1810577E-01,  -4.0490339E+00,  -5.6171750E-02 
71,   7.8000000E+01,   7.7776876E+01,  -1.3440340E+00,   0.0000000E+00,   0.0000000E+00,  -4.1385407E+00,   0.0000000E+00,  -4.1315173E+00,  -2.9935036E-01,  -4.1548536E+00,   6.9528714E-01,  -4.1431855E+00,   1.9796839E-01,  -4.1373514E+00,  -5.0690984E-02 
72,   7.8500000E+01,   7.8268812E+01,  -1.3653790E+00,   0.0000000E+00,   0.0000000E+00,  -4.2279807E+00,   0.0000000E+00,  -4.2217225E+00,  -2.6256562E-01,  -4.2425329E+00,   6.1054095E-01,  -4.2321277E+00,   1.7398766E-01,  -4.2269251E+00,  -4.4288977E-02 
73,   7.9000000E+01,   7.8760520E+01,  -1.3864890E+00,   0.0000000E+00,   0.0000000E+00,  -4.3186571E+00,   0.0000000E+00,  -4.3134020E+00,  -2.1712175E-01,  -4.3308909E+00,   5.0545175E-01,  -4.3221464E+00,   1.4416500E-01,  -4.3177742E+00,  -3.6478372E-02 
74,   7.9500000E+01,   7.9251998E+01,  -1.4074420E+00,   0.0000000E+00,   0.0000000E+00,  -4.4105793E+00,   0.0000000E+00,  -4.4067593E+00,  -1.5547817E-01,  -4.4194825E+00,   3.6237024E-01,  -4.4131209E+00,   1.0344604E-01,  -4.4099401E+00,  -2.6016067E-02 
75,   7.9980000E+01,   7.9723595E+01,  -1.4274990E+00,   0.0000000E+00,   0.0000000E+00,  -4.4999994E+00,   0.0000000E+00,  -4.4992151E+00,  -3.1471729E-02,  -4.5018293E+00,   7.3434034E-02,  -4.5005222E+00,   2.0981152E-02,  -4.4998687E+00,  -5.2452881E-03 
